ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
H00922.CSI,20250825,11710.4075,,,,11625.1201,85.2874,0.7336,,
H00922.CSI,20250822,11625.1201,,,,11642.8489,-17.7288,-0.1523,,
H00922.CSI,20250821,11642.8489,,,,11580.7322,62.1167,0.5364,,
H00922.CSI,20250820,11580.7322,,,,11493.9367,86.7955,0.7551,,
H00922.CSI,20250819,11493.9367,,,,11504.9448,-11.0081,-0.0957,,
H00922.CSI,20250818,11504.9448,,,,11527.0692,-22.1244,-0.1919,,
H00922.CSI,20250815,11527.0692,,,,11499.4946,27.5746,0.2398,,
H00922.CSI,20250814,11499.4946,,,,11610.6892,-111.1946,-0.9577,,
H00922.CSI,20250813,11610.6892,,,,11670.8485,-60.1593,-0.5155,,
H00922.CSI,20250812,11670.8485,,,,11605.7845,65.064,0.5606,,
H00922.CSI,20250811,11605.7845,,,,11655.4204,-49.6359,-0.4259,,
H00922.CSI,20250808,11655.4204,,,,11649.3308,6.0896,0.0523,,
H00922.CSI,20250807,11649.3308,,,,11629.6669,19.6639,0.1691,,
H00922.CSI,20250806,11629.6669,,,,11556.3598,73.3071,0.6343,,
H00922.CSI,20250805,11556.3598,,,,11431.9087,124.4511,1.0886,,
H00922.CSI,20250804,11431.9087,,,,11378.49,53.4187,0.4695,,
H00922.CSI,20250801,11378.49,,,,11378.7358,-0.2458,-0.0022,,
H00922.CSI,20250731,11378.7358,,,,11579.487,-200.7512,-1.7337,,
H00922.CSI,20250730,11579.487,,,,11549.0338,30.4532,0.2637,,
H00922.CSI,20250729,11549.0338,,,,11553.3318,-4.298,-0.0372,,
H00922.CSI,20250728,11553.3318,,,,11672.826,-119.4942,-1.0237,,
H00922.CSI,20250725,11672.826,,,,11741.6786,-68.8526,-0.5864,,
H00922.CSI,20250724,11741.6786,,,,11690.2543,51.4243,0.4399,,
H00922.CSI,20250723,11690.2543,,,,11728.7852,-38.5309,-0.3285,,
H00922.CSI,20250722,11728.7852,,,,11538.9264,189.8588,1.6454,,
H00922.CSI,20250721,11538.9264,,,,11395.8797,143.0467,1.2552,,
H00922.CSI,20250718,11395.8797,,,,11342.1925,53.6872,0.4733,,
H00922.CSI,20250717,11342.1925,,,,11344.8807,-2.6882,-0.0237,,
H00922.CSI,20250716,11344.8807,,,,11385.294,-40.4133,-0.355,,
H00922.CSI,20250715,11385.294,,,,11512.0098,-126.7158,-1.1007,,
H00922.CSI,20250714,11512.0098,,,,11444.1059,67.9039,0.5934,,
H00922.CSI,20250711,11444.1059,,,,11508.4167,-64.3108,-0.5588,,
H00922.CSI,20250710,11508.4167,,,,11422.3823,86.0344,0.7532,,
H00922.CSI,20250709,11422.3823,,,,11380.9818,41.4005,0.3638,,
H00922.CSI,20250708,11380.9818,,,,11386.5839,-5.6021,-0.0492,,
H00922.CSI,20250707,11386.5839,,,,11329.1283,57.4556,0.5071,,
