ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000922.CSI,20171218,4664.1441,4664.9105,4682.8828,4645.8985,4664.8582,-0.7141,-0.0153,22659090.0,34027991.3189
000922.CSI,20171215,4664.8582,4697.1402,4697.1402,4657.5439,4702.3981,-37.5399,-0.7983,26742240.0,35371685.8962
000922.CSI,20171214,4702.3981,4714.3817,4720.3584,4688.8181,4713.3193,-10.9212,-0.2317,24110150.0,32164301.6083
000922.CSI,20171213,4713.3193,4674.3827,4713.8114,4667.9378,4677.6117,35.7076,0.7634,23812195.0,34814328.7305
000922.CSI,20171212,4677.6117,4723.9637,4723.9637,4677.2843,4725.1771,-47.5654,-1.0066,24984501.0,35175903.1841
000922.CSI,20171211,4725.1771,4678.9101,4725.1771,4673.8036,4675.8399,49.3372,1.0552,29296977.0,43180944.3696
000922.CSI,20171208,4675.8399,4650.286,4689.9141,4637.6096,4660.8384,15.0015,0.3219,26385475.0,36584393.292
000922.CSI,20171207,4660.8384,4697.1378,4709.541,4645.6984,4708.7012,-47.8628,-1.0165,28066216.0,37642790.158
000922.CSI,20171206,4708.7012,4721.5347,4724.911,4655.8842,4735.6026,-26.9014,-0.5681,33274690.0,42751351.2941
000922.CSI,20171205,4735.6026,4713.429,4744.2876,4711.2058,4724.0248,11.5778,0.2451,58425461.0,70091712.2955
000922.CSI,20171204,4724.0248,4710.9617,4742.9274,4700.0283,4718.1346,5.8902,0.1248,28142749.0,41318368.5058
000922.CSI,20171201,4718.1346,4721.07,4738.385,4698.4501,4725.7812,-7.6466,-0.1618,31690446.0,42647810.5165
000922.CSI,20171130,4725.7812,4744.2025,4760.0703,4703.9534,4755.9597,-30.1785,-0.6345,34166641.0,47240960.0501
000922.CSI,20171129,4755.9597,4764.4942,4776.9175,4710.7004,4760.7887,-4.829,-0.1014,39147101.0,57065781.3338
000922.CSI,20171128,4760.7887,4737.9006,4763.1944,4714.5601,4756.4894,4.2993,0.0904,30643311.0,40058792.6625
000922.CSI,20171127,4756.4894,4780.8024,4780.9543,4736.1781,4798.5167,-42.0273,-0.8758,47180388.0,59469069.4132
000922.CSI,20171124,4798.5167,4781.4362,4805.6279,4736.828,4798.5507,-0.034,-0.0007,43116913.0,61600633.1136
000922.CSI,20171123,4798.5507,4919.4813,4919.4813,4782.1492,4928.323,-129.7723,-2.6332,63215473.0,79732736.4447
000922.CSI,20171122,4928.323,4933.2665,4957.7158,4890.8599,4921.2673,7.0557,0.1434,69501242.0,87471649.5593
000922.CSI,20171121,4921.2673,4847.7256,4922.2765,4842.5184,4857.3329,63.9344,1.3162,61271318.0,84917677.8978
000922.CSI,20171120,4857.3329,4809.664,4858.2622,4766.6753,4835.3683,21.9646,0.4542,45511055.0,59851670.0763
000922.CSI,20171117,4835.3683,4820.9682,4836.4704,4797.8663,4827.4683,7.9,0.1636,66676178.0,83973378.902
000922.CSI,20171116,4827.4683,4809.4374,4832.2619,4802.806,4814.7822,12.6861,0.2635,33809074.0,51389566.353
000922.CSI,20171115,4814.7822,4824.2129,4836.5811,4793.9574,4836.0492,-21.267,-0.4398,34671577.0,49032906.7732
000922.CSI,20171114,4836.0492,4866.558,4867.9832,4816.0658,4867.814,-31.7648,-0.6525,40353366.0,57677212.2396
000922.CSI,20171113,4867.814,4849.6391,4882.5281,4849.6391,4841.3765,26.4375,0.5461,54083240.0,67049774.8388
000922.CSI,20171110,4841.3765,4810.2777,4849.2509,4806.2022,4814.4146,26.9619,0.56,43197698.0,58634464.7735
000922.CSI,20171109,4814.4146,4785.764,4815.0371,4780.6491,4788.8483,25.5663,0.5339,31627821.0,43519064.3586
000922.CSI,20171108,4788.8483,4786.1599,4829.4493,4777.5835,4786.6007,2.2476,0.047,41663954.0,56693099.2641
000922.CSI,20171107,4786.6007,4757.2106,4804.9051,4753.4922,4757.0768,29.5239,0.6206,44623137.0,58559226.7047
000922.CSI,20171106,4757.0768,4720.5699,4758.6101,4705.1238,4724.2806,32.7962,0.6942,33230933.0,47544085.5016
000922.CSI,20171103,4724.2806,4737.9297,4740.1599,4691.1299,4744.3823,-20.1017,-0.4237,39305554.0,47034172.2416
000922.CSI,20171102,4744.3823,4741.5215,4745.7786,4714.4385,4744.3643,0.018,0.0004,35546077.0,43672939.5872
000922.CSI,20171101,4744.3643,4766.1256,4785.2015,4738.0645,4767.5522,-23.1879,-0.4864,45350170.0,58001457.7426
000922.CSI,20171031,4767.5522,4771.5085,4773.1407,4742.0784,4786.0426,-18.4904,-0.3863,33440571.0,44430245.1748
000922.CSI,20171030,4786.0426,4806.0295,4815.6962,4732.901,4806.6272,-20.5846,-0.4283,44432665.0,56738372.7921
000922.CSI,20171027,4806.6272,4788.9755,4808.2461,4783.5115,4791.8467,14.7805,0.3085,40819136.0,51612043.1543
000922.CSI,20171026,4791.8467,4787.168,4818.2282,4782.3095,4787.0083,4.8384,0.1011,43836805.0,56912474.0688
000922.CSI,20171025,4787.0083,4771.8173,4789.3954,4767.2394,4775.1342,11.8741,0.2487,24151732.0,31783783.5664
000922.CSI,20171024,4775.1342,4738.3019,4775.7304,4732.8342,4746.4996,28.6346,0.6033,29159570.0,38200323.3137
000922.CSI,20171023,4746.4996,4745.4842,4753.2115,4731.5556,4742.3059,4.1937,0.0884,24822947.0,31502226.7246
000922.CSI,20171020,4742.3059,4731.6176,4744.9188,4718.4501,4740.432,1.8739,0.0395,20360393.0,28488040.4784
000922.CSI,20171019,4740.432,4736.9376,4745.1957,4726.4186,4740.8298,-0.3978,-0.0084,32015695.0,40788291.0275
000922.CSI,20171018,4740.8298,4710.6775,4742.1582,4708.4299,4708.7946,32.0352,0.6803,32935123.0,41166832.1576
000922.CSI,20171017,4708.7946,4706.1766,4717.2917,4692.3237,4708.8836,-0.089,-0.0019,21299764.0,29923763.9192
000922.CSI,20171016,4708.8836,4741.2706,4749.8252,4706.3547,4741.5165,-32.6329,-0.6882,30511014.0,42019516.0145
000922.CSI,20171013,4741.5165,4742.5184,4751.9152,4736.3936,4740.2991,1.2174,0.0257,25146821.0,32815219.9251
000922.CSI,20171012,4740.2991,4739.2259,4747.0227,4724.8171,4739.6127,0.6864,0.0145,25567785.0,35087069.7096
000922.CSI,20171011,4739.6127,4719.7084,4752.5549,4717.5975,4726.0938,13.5189,0.286,30872021.0,45403489.4003
000922.CSI,20171010,4726.0938,4723.0622,4740.8464,4682.1956,4719.9659,6.1279,0.1298,33695090.0,48561163.931
000922.CSI,20171009,4719.9659,4743.7358,4754.2923,4710.3885,4672.2503,47.7156,1.0213,45912173.0,55573432.1351
000922.CSI,20170929,4672.2503,4665.1802,4694.1774,4664.7875,4663.2627,8.9876,0.1927,22992034.0,31309100.74
000922.CSI,20170928,4663.2627,4672.2767,4672.2767,4657.3963,4673.3026,-10.0399,-0.2148,25416001.0,32903726.2644
000922.CSI,20170927,4673.3026,4664.168,4682.1353,4663.418,4666.4094,6.8932,0.1477,22524718.0,28699842.7902
000922.CSI,20170926,4666.4094,4660.3435,4671.0952,4651.1227,4668.8034,-2.394,-0.0513,21833519.0,27728317.0971
000922.CSI,20170925,4668.8034,4680.2694,4684.5401,4658.0589,4690.0497,-21.2463,-0.453,34910572.0,43459523.7763
